"region_id","attributes"
"d65e7f70-a417-405c-b538-df937fe9552e","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=881"",""plan_year"":""Plan Maestro 2013 - 2018"",""title_en"":""Management Plan for Alpahuayo Mishana National Reserve"",""title_es"":""Plan Maestro de la Reserva Nacional Alpahuayo Mishana""}]}"
"dc2f0319-2b22-450a-92b0-ae67a450e2d3","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=360"",""plan_year"":""Plan Maestro 2008 - 2013"",""title_en"":""Management Plan for Alto Mayo Protection Forest"",""title_es"":""Plan Maestro del Bosque de Protección Alto Mayo""}]}"
"72f6364d-872e-46a4-96cf-8f9b400e450f","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=1080"",""plan_year"":""Plan Maestro 2012 - 2017"",""title_en"":""Management Plan for Alto Purús National Park"",""title_es"":""Plan Maestro del Parque Nacional Alto Purús""}]}"
"79853018-37d1-4c30-865d-a3499db6c3f9","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=1157"",""plan_year"":""Plan Maestro 2016 -  2020"",""title_en"":""Management Plan for Amarakaeri Communal Reserve"",""title_es"":""Plan Maestro de la Reserva Comunal Amarakaeri""}]}"
"aaaa02aa-426f-4802-9f5b-3a4cd38ee92a","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=855"",""plan_year"":""Plan Maestro 2015 - 2019"",""title_en"":""Management Plan for de Ampay National Sanctuary"",""title_es"":""Plan Maestro del Santuario Nacional de Ampay""}]}"
"a6a535c5-24d6-4153-87bd-aca8867994d2","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=879"",""plan_year"":""Plan Maestro 2012 - 2017"",""title_en"":""Management Plan for Asháninka Communal Reserve"",""title_es"":""Plan Maestro de la Reserva Communal Asháninka""}]}"
"9cb276f0-2535-470a-ab67-49454e3c4efa","{""management_plan"":[{""url"":""http://sinia.minam.gob.pe/documentos/plan-maestro-parque-nacional-bahuaja-sonene-periodo-2015-2019"",""plan_year"":""Plan Maestro 2015 - 2019"",""title_en"":""Management Plan for Bahuaja-Sonene National Park"",""title_es"":""Plan Maestro del Parque Nacional Bahuaja-Sonene""}]}"
"632d4d65-4db9-445c-be9f-a41455bfaf41","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=1563"",""plan_year"":""Plan Maestro 2017 - 2021"",""title_en"":""Management Plan for Bosque de Pomac Historic Sanctuary"",""title_es"":""Plan Maestro del Santuario Histórico Bosque de Pómac""}]}"
"e437d1bb-0569-49b9-be98-709bba708598","{""management_plan"":[{""url"":""http://sinia.minam.gob.pe/documentos/plan-maestro-refugio-vida-silvestre-bosques-nublados-udima-periodo"",""plan_year"":""Plan Maestro 2015 - 2019"",""title_en"":""Management Plan for Bosques Nublados de Udima Wildlife Refuge"",""title_es"":""Plan Maestro del Refugio de Vida Silvestre Bosques Nublados de Udima""}]}"
"99b3e9f5-d64d-45ac-86ba-ad32ce6df35c","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=921"",""plan_year"":""Plan Maestro 2015 - 2019"",""title_en"":""Management Plan for Calipuy National Reserve"",""title_es"":""Plan Maestro de la Reserva Nacional de Calipuy""}]}"
"4c99d72c-4442-4838-a845-0cdaab2434aa","{""management_plan"":[{""url"":""http://sinia.minam.gob.pe/documentos/plan-maestro-santuario-nacional-calipuy-periodo-2015-2019"",""plan_year"":""Plan Maestro 2015 - 2019"",""title_en"":""Management Plan for de Calipuy National Sanctuary"",""title_es"":""Plan Maestro del Santuario Nacional de Calipuy""}]}"
"d8eee706-576a-4ef7-93b0-8e69a0dd3e8b","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=378"",""plan_year"":""Plan Maestro 2012 - 2017"",""title_en"":""Management Plan for Cerros de Amotape National Park"",""title_es"":""Plan Maestro del Parque Nacional Cerros de Amotape""}]}"
"b817d891-0509-4be8-bc96-3fe79fa560c8","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=1758"",""plan_year"":""Plan Maestro 2016 - 2020"",""title_en"":""Management Plan for Chayu Nain Communal Reserve"",""title_es"":""Plan Maestro de la Reserva Comunal Chayu Nain""}]}"
"9aace4cb-d871-4e80-8761-6f6a9982104b","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=1505"",""plan_year"":""Plan Maestro 2017 - 2021"",""title_en"":""Management Plan for Cordillera Azul National Park"",""title_es"":""Plan Maestro del Parque Nacional Cordillera Azul""}]}"
"bcecc0ed-78cc-4d57-b93a-f7907b757057","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=1759"",""plan_year"":""Plan Maestro 2016 - 2020"",""title_en"":""Management Plan for Cordillera de Colán National Sanctuary"",""title_es"":""Plan Maestro del Santuario Nacional Cordillera de Colán""}]}"
"b372cea8-aaed-48c7-982d-3220db462ab9","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=1761"",""plan_year"":""Plan Maestro 2017 - 2021"",""title_en"":""Management Plan for Cutervo National Park"",""title_es"":""Plan Maestro del Parque Nacional de Cutervo""}]}"
"c77b1717-9bcd-4062-90c1-53f050a7d639","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=1564"",""plan_year"":""Plan Maestro 2017 - 2021"",""title_en"":""Management Plan for Paigabamba Protection Forest"",""title_es"":""Plan Maestro del Bosque de Protección de Paigabamba""}]}"
"9653f0d4-2169-4951-bcc9-96e4a7f24683","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=868"",""plan_year"":""Plan Maestro 2012 - 2017"",""title_en"":""Management Plan for El Angolo Hunting Preserve"",""title_es"":""Plan Maestro del Coto de Caza El Angolo""}]}"
"209cfc91-56a2-4f8a-a278-657c298ea53e","{""management_plan"":[{""url"":""http://sinia.minam.gob.pe/documentos/plan-maestro-reserva-comunal-sira-periodo-2015-2019"",""plan_year"":""Plan Maestro 2015 - 2019"",""title_en"":""Management Plan for El Sira Communal Reserve"",""title_es"":""Plan Maestro de la Reserva Comunal El Sira""}]}"
"dc1b515e-4d80-4786-95ef-4b350a008adb","{""management_plan"":[{""url"":""http://sinia.minam.gob.pe/documentos/plan-maestro-parque-nacional-gueppi-sekime-2014-2019"",""plan_year"":""Plan Maestro 2014 - 2019"",""title_en"":""Management Plan for Güeppí-Sekime National Park"",""title_es"":""Plan Maestro del Parque Nacional Güeppí-Sekime""}]}"
"615ad39a-ba70-4973-b0dd-bd763fa208bf","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=1519"",""plan_year"":""Plan Maestro 2017 - 2021"",""title_en"":""Management Plan for Huascarán National Park"",""title_es"":""Plan Maestro del Parque Nacional Huascarán""}]}"
"34ad3fc3-5a13-4a4d-8f0a-21acade4b896","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=368"",""plan_year"":""Plan Maestro 2011 - 2016"",""title_en"":""Management Plan for Ichigkat Muja-Cordillera del Cóndor"",""title_es"":""Plan Maestro del Parque Nacional Ichigkat Muja-Cordillera del Cóndor""}]}"
"85b3ed89-fd1c-4227-8c65-cff9c096b3ac","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=955"",""plan_year"":""Plan Maestro 2016 - 2020"",""title_en"":""Management Plan for de la Pampa de Ayacucho Historic Sanctuary"",""title_es"":""Plan Maestro del Santuario Histórico de la Pampa de Ayacucho""}]}"
"b51de16c-d7ad-4ee1-be69-909eff2860a7","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=896"",""plan_year"":""Plan Maestro 2013 - 2018"",""title_en"":""Management Plan for Lachay National Reserve"",""title_es"":""Plan Maestro de la Reserva Nacional de Lachay""}]}"
"f6ccc7c8-4851-4313-9555-c7f69471ea49","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=721"",""plan_year"":""Plan Maestro 2015 - 2019"",""title_en"":""Management Plan for Lagunas de Mejía National Sanctuary"",""title_es"":""Plan Maestro del Santuario Nacional Lagunas de Mejía""}]}"
"71e7ede1-ed8c-41b8-b7dd-130f0c66c023","{""management_plan"":[{""url"":""http://sinia.minam.gob.pe/normas/conformidad-propuesta-plan-maestro-refugio-vida-silvestre-laquipampa"",""plan_year"":""Plan Maestro 2015 - 2019"",""title_en"":""Management Plan for Laquipampa Wildlife Refuge"",""title_es"":""Plan Maestro del Refugio de Vida Silvestre Laquipampa""}]}"
"f3411150-676f-40a2-8c66-c7699e4e1e2a","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=1520"",""plan_year"":""Plan Maestro 2017 - 2021"",""title_en"":""Management Plan for los Manglares de Tumbes National Sanctuary"",""title_es"":""Plan Maestro del Santuario Nacional los Manglares de Tumbes""}]}"
"592f8776-6b8d-48c7-80ef-be31490422af","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=1136"",""plan_year"":""Plan Maestro 2016 - 2020"",""title_en"":""Management Plan for Los Pantanos de Villa Wildlife Refuge"",""title_es"":""Plan Maestro del Refugio de Vida Silvestre Los Pantanos de Villa""}]}"
"ccc4c107-37be-46bf-9bac-d9232a423f69","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=1517"",""plan_year"":""Plan Maestro 2017 - 2021"",""title_en"":""Management Plan for Machigenga Communal Reserve"",""title_es"":""Plan Maestro de la Reserva Comunal Machigenga""}]}"
"28185dc9-85cb-4c0c-951f-06f8c9a6d39f","{""management_plan"":[{""url"":""http://sinia.minam.gob.pe/documentos/plan-maestro-santuario-historico-machupicchu-periodo-2015-2019"",""plan_year"":""Plan Maestro 2015 - 2019"",""title_en"":""Management Plan for de Machupicchu Historic Sanctuary"",""title_es"":""Plan Maestro del Santuario Histórico de Machupicchu""}]}"
"7b792815-b12a-40c7-b3bc-b36ed3f7b745","{""management_plan"":[{""url"":""http://sinia.minam.gob.pe/documentos/plan-maestro-parque-nacional-manu-periodo-2013-2018"",""plan_year"":""Plan Maestro 2013 - 2018"",""title_en"":""Management Plan for Manu National Park"",""title_es"":""Plan Maestro del Parque Nacional del Manu""}]}"
"052c77aa-f783-4703-bfcd-1b1f90efc111","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=852"",""plan_year"":""Plan Maestro 2014 - 2019"",""title_en"":""Management Plan for Matsés National Reserve"",""title_es"":""Plan Maestro de la Reserva Nacional Matsés""}]}"
"fe028729-5daa-4282-9241-6901b2b5a697","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=1182"",""plan_year"":""Plan Maestro 2016 - 2020"",""title_en"":""Management Plan for Megantoni National Sanctuary"",""title_es"":""Plan Maestro del Santuario Nacional Megantoni""}]}"
"cf10253b-4353-4f93-a0a7-0c4d734c406b","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=1184"",""plan_year"":""Plan Maestro 2016 -  2020"",""title_en"":""Management Plan for Nor-Yauyos Cochas Landscape Reserve"",""title_es"":""Plan Maestro de la Reserva Paisajística Nor Yauyos-Cochas""}]}"
"144a0602-2b19-477a-95d4-865c3c0f9f1a","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=1367"",""plan_year"":""Plan Maestro 2016 - 2020"",""title_en"":""Management Plan for Otishi National Park"",""title_es"":""Plan Maestro del Parque Nacional Otishi""}]}"
"e23216f2-e8fc-47bf-a4b5-a5e56230b500","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=1717"",""plan_year"":""Plan Maestro 2017 - 2021"",""title_en"":""Management Plan for Pacaya-Samiria National Reserve"",""title_es"":""Plan Maestro de la Reserva Nacional Pacaya-Samiria""}]}"
"22ac8ea2-b79c-47e3-bec5-9720830a6617","{""management_plan"":[{""url"":""http://sinia.minam.gob.pe/documentos/plan-maestro-reserva-nacional-pama-galeleras-barbara-dachile-periodo"",""plan_year"":""Plan Maestro 2014 - 2019"",""title_en"":""Management Plan for Pampa Galeras Bárbara D'Achille National Reserve"",""title_es"":""Plan Maetsro de la Reserva Nacional Pampa Galeras Bárbara D'Achille""}]}"
"5206d6b5-0c66-4451-96b9-f02906fded8a","{""management_plan"":[{""url"":""http://sinia.minam.gob.pe/documentos/plan-maestro-santuario-nacional-pampa-hermosa-periodo-2012-2017"",""plan_year"":""Plan Maestro 2012 - 2017"",""title_en"":""Management Plan for Pampa Hermosa National Sanctuary"",""title_es"":""Plan Maestro del Santuario Nacional Pampa Hermosa""}]}"
"bce2c4f6-90e9-4750-9e8a-fdf4d2f700cb","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=968"",""plan_year"":""Plan Maestro 2016 - 2020"",""title_en"":""Management Plan for de Paracas National Reserve"",""title_es"":""Plan Maestro de la Reserva Nacional de Paracas""}]}"
"02d64653-12af-429c-9a5f-5c358c6c9c11","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=894"",""plan_year"":""Plan Maestro 2013 - 2018"",""title_en"":""Management Plan for Pucacuro National Reserve"",""title_es"":""Plan Maestro de la Reserva Nacional Pucacuro""}]}"
"c1ef02ea-afcd-470f-9b7c-44ffb4a20be5","{""management_plan"":[{""url"":""http://sinia.minam.gob.pe/documentos/plan-maestro-bosque-proteccion-pui-pui-periodo-2012-2017"",""plan_year"":""Plan Maestro 2012 - 2017"",""title_en"":""Management Plan for Pui Pui Protection Forest"",""title_es"":""Plan Maestro del Bosque de Protección Pui Pui""}]}"
"64ed3b88-1c2a-46c8-86b9-0f58931c311e","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=880"",""plan_year"":""Plan Maestro 2012 - 2017"",""title_en"":""Management Plan for Purús Communal Reserve"",""title_es"":""Plan de la Reserva Comunal Purús""}]}"
"f5e3042c-4fe8-4194-a025-ee27be7f2911","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=860"",""plan_year"":""Plan Maestro 2014 - 2019"",""title_en"":""Management Plan for Río Abiseo National Park"",""title_es"":""Plan Maestro del Parque Nacional del Río Abiseo""}]}"
"bd98166c-3d88-4d5b-b80b-a707f8cb8ac5","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=1561"",""plan_year"":""Plan Maestro 2016 - 2020"",""title_en"":""Management Plan for Salinas Aguada Blanca National Reserve"",""title_es"":""Plan Maestro de la Reserva Nacional de Salinas Aguada Blanca""}]}"
"1a2d2ab0-2f4c-4183-8c05-4fd3877cfb6d","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=898"",""plan_year"":""Plan Maestro 2015 - 2019"",""title_en"":""Management Plan for San Fernando National Reserve"",""title_es"":""Plan Maestro de la Reserva Nacional San Fernando""}]}"
"8edd84b3-4fe0-487d-b039-41fd070de0ae","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=885"",""plan_year"":""Plan Maestro 2015 - 2019"",""title_en"":""Management Plan for San Matías-San Carlos Protection Forest"",""title_es"":""Plan Maestro del Bosque de Protección de San Matías-San Carlos""}]}"
"b9962364-de9a-4f23-bed0-76bcece09f43","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=1368"",""plan_year"":""Plan Maestro 2016 -  2020"",""title_en"":""Management Plan for Sierra del Divisor National Park"",""title_es"":""Plan Maestro del Parque Nacional Sierra del Divisor""}]}"
"80dbc3d9-0bfe-4c4f-9abf-1d306fdafcbd","{""management_plan"":[{""url"":""http://sinia.minam.gob.pe/documentos/plan-maestro-santuario-nacional-tabaconas-namballe-periodo-2015-2019"",""plan_year"":""Plan Maestro 2015 - 2019"",""title_en"":""Management Plan for Tabaconas-Namballe National Sanctuary"",""title_es"":""Plan Maestro del Santuario Nacional Tabaconas-Namballe""}]}"
"2e6ce6d5-0a77-43ef-b704-8569c016879f","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=395"",""plan_year"":""Plan Maestro 2011 - 2016"",""title_en"":""Management Plan for Tambopata National Reserve"",""title_es"":""Plan Maestro de la Reserva Nacional Tambopata""}]}"
"f1efe420-e686-4009-b5ee-14fca061b8ad","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=1377"",""plan_year"":""Plan Maestro 2016 - 2020"",""title_en"":""Management Plan for Tuntanain Communal Reserve"",""title_es"":""Plan Maestro de la Reserva Comunal Tuntanain""}]}"
"d5081a46-f05d-4662-b05d-299c5f5de28f","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=1527"",""plan_year"":""Plan Maestro 2017 - 2021"",""title_en"":""Management Plan for Tingo María National Park"",""title_es"":""Plan Maestro del Parque Nacional Tingo María""}]}"
"19b5835d-a588-4b7f-b60c-01279e483401","{""management_plan"":[{""url"":""http://sinia.minam.gob.pe/normas/actualizacion-plan-maestro-reserva-nacional-titicaca-periodo-2014-2019"",""plan_year"":""Plan Maestro 2014 - 2019"",""title_en"":""Management Plan for del Titicaca National Reserve"",""title_es"":""Plan Maestro de la Reserva Nacional del Titicaca""}]}"
"a343f3b7-2881-44e8-b0ab-a57d02d5292b","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=400"",""plan_year"":""Plan Maestro 2012 - 2017"",""title_en"":""Management Plan for Tumbes National Reserve"",""title_es"":""Plan Maestro de la Reserva Nacional de Tumbes""}]}"
